Index,Width,Length,Height,Type,TypeCertainty,Color,Indexed,Density,Weight,MoistureContent,PicturePath,Location
42018467,128,817,40,Soft Wood,0,"166,123,102",04/20/2022 18:46:07,468.51069915058753,195,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
4201909,267,757,34,Hard Wood,0,"162,144,121",04/20/2022 19:00:58,582.7538734761273,400,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
420191111,272,643,36,Hard Wood,0,"166,133,107",04/20/2022 19:11:32,606.755293831196,385,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
420192013,181,866,36,Soft Wood,0,"165,139,115",04/20/2022 19:20:01,473.30158281050916,265,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
420193615,123,804,41,Hard Wood,0,"167,125,107",04/20/2022 19:36:06,890.49288424946064,360,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
42110212,134,810,40,Hard Wood,0,"165,125,102",04/21/2022 10:21:55,838.40990530998522,360,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
42110464,101,679,40,Hard Wood,0,"166,124,101",04/21/2022 10:46:19,1311.0440500749478,360,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
42110546,181,742,36,Hard Wood,0,"170,170,170",04/21/2022 10:54:15,746.24888050230413,360,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
421111310,164,930,44,Hard Wood,0,"167,126,87",04/21/2022 11:13:26,535.95508267643072,360,0,C:\Users\RobotLab\Documents\DataWood\Main Hub\picture,C:\Users\RobotLab\Documents\DataWood\Main Hub\CSV
